id,category,requirement,coverage_status,evidence,remaining_gap,closure_phase
AUD-GOV-001,Gouvernance,"Projet privé, personnel, non distribué, pour le portefeuille de Nathan.",LOCKED_CANON,MASTER REQ-CORE-001,Aucun.,—
AUD-GOV-002,Gouvernance,Cible finale : gestion entièrement autonome du portefeuille personnel.,LOCKED_CANON,MASTER REQ-CORE-002,Autonomie non implémentée; gates 37–39.,C15
AUD-GOV-003,Gouvernance,"Aucun capital réel avant historique, shadow et paper qualifiés.",LOCKED_CANON,MASTER REQ-CORE-003,Validation réelle à exécuter.,C15
AUD-GOV-004,Gouvernance,"Aucun faux DONE; faits, hypothèses, preuves et limites séparés.",LOCKED_CANON,MASTER REQ-CORE-004; Control Plane anti-dérive,Mesurer longitudinalement l’efficacité des contrôles.,C16
AUD-GOV-005,Gouvernance,RAG et fichier Markdown maître relus et mis à jour à chaque phase.,LOCKED_CANON,MASTER section 0; Current State/RAG,Ancrage externe encore ouvert.,C16
AUD-GOV-006,Gouvernance,"Contre-mesures anti-dérive avant, pendant et après chaque phase.",LOCKED_CANON,MASTER REQ-CORE-019; 00-D2/00-D3,Aucun oubli critique détecté dans les domaines déjà canonisés.,C16
AUD-GOV-007,Gouvernance,Traçabilité exigence→source→preuve→test→décision→artefact.,LOCKED_CANON,MASTER REQ-CORE-020,Doit couvrir tous les contrats finaux.,C16
AUD-GOV-008,Gouvernance,"Toute avenue reçoit un statut : ouverte, watchlist, rejetée ou adoptée.",LOCKED_CANON,MASTER REQ-CORE-022,Plusieurs familles restent seulement SCREENED.,C1-C15
AUD-GOV-009,Gouvernance,Conserver tous les résultats négatifs et erreurs.,LOCKED_CANON,Negative-result retention; Evidence ledgers,Vérifier la couverture finale de 100 %.,C16
AUD-GOV-010,Gouvernance,Garder un esprit critique face aux suggestions externes et aux consensus.,LOCKED_CANON,MASTER REQ-CORE-029/031; Revue Claude/Fable,Revue finale indépendante requise.,C16
AUD-GOV-011,Gouvernance,"Le plan, et non le logiciel, est le livrable actuel destiné à Claude Code.",PARTIAL_NEEDS_EXPLICIT_LOCK,MASTER REQ-CORE-025/031; CLAUDE.md,Séparer formellement roadmap de conception et roadmap d’exécution.,C16
AUD-GOV-012,Gouvernance,Chaque phase d’implémentation doit avoir un Claude Code Execution Contract concret.,PARTIAL_NEEDS_CONTRACTS,9 contrats formels présents dans execution-contracts/,9 contrats présents; les autres contrats doivent être produits par C1-C15.,C1-C15
AUD-GOV-013,Gouvernance,Le conseil premium de 10–15 modèles challenge le plan sans autorité supérieure au canon.,COVERED_DESIGN,25A Premium Model Council; REQ-CORE-029,Benchmark et consensus final non exécutés.,C16
AUD-GOV-014,Gouvernance,"Le pack final doit être reproductible, vérifiable et sans secrets.",COVERED_DESIGN,REQ-CORE-031; CLAUDE.md,Spécification finale d’acceptation à verrouiller.,C16
AUD-MKT-001,Connaissance marché,Connaissance boursière de A à Z avec coverage ledger mesurable.,COVERED_DESIGN,52 domaines KDOM; 02B contract,Domaines à sourcer/tester/contractualiser.,C7-C10
AUD-MKT-002,Connaissance marché,"Comprendre courbes, prix, volumes, volatilité, liquidité et analyse technique multi-échelle.",PARTIAL_NEEDS_CONTRACT,Phase 13 roadmap,Contrat Claude Code détaillé absent.,C8
AUD-MKT-003,Connaissance marché,Explorer toutes les familles de stratégies et leurs conditions de défaillance.,PARTIAL_NEEDS_CONTRACT,Phase 20 roadmap; Strategy Factory concepts,Contrat exhaustif et DSL manquants.,C10
AUD-MKT-004,Connaissance marché,"Étudier l’histoire de la bourse, crises, accidents, changements structurels et régimes.",PARTIAL_NEEDS_CONTRACT,KDOM coverage; Phases 19/33,"Corpus historique, scénarios et tests à détailler.",C9/C15
AUD-MKT-005,Connaissance marché,Comprendre les mécanismes de cause à effet et distinguer causalité/corrélation.,PARTIAL_NEEDS_CONTRACT,Phase 19; DoWhy/EconML candidates,Contrat causal complet absent.,C9
AUD-MKT-006,Connaissance marché,"Fondamentaux, comptabilité, états financiers, qualité et gouvernance d’entreprise.",PARTIAL_NEEDS_CONTRACT,Phase 11 roadmap,Contrat détaillé absent.,C7
AUD-MKT-007,Connaissance marché,"Valorisation par scénarios et distributions, pas un prix unique.",PARTIAL_NEEDS_CONTRACT,Phase 12 roadmap,Contrat détaillé absent.,C7
AUD-MKT-008,Connaissance marché,"Macro, taux, crédit, FX, matières premières et cross-asset.",PARTIAL_NEEDS_CONTRACT,Phase 15 roadmap,Contrat détaillé absent.,C9
AUD-MKT-009,Connaissance marché,"Microstructure, ordres, carnets L1/L2/L3, files, enchères, haltes et impact.",PARTIAL_NEEDS_CONTRACT,Phase 14; L1-L2-L3 protocol,Contrat opérationnel complet absent.,C8
AUD-MKT-010,Connaissance marché,"Options, volatilité implicite, surface, greeks et positionnement.",PARTIAL_NEEDS_CONTRACT,Phase 17 roadmap,Contrat détaillé absent.,C8
AUD-MKT-011,Connaissance marché,"Actualité mondiale temps réel; X/Grok comme capteur, jamais vérité unique.",LOCKED_CANON,REQ-CORE-006; Phase 16 roadmap,Architecture de corroboration et SLA à détailler.,C9
AUD-MKT-012,Connaissance marché,"Alternative data, réseaux sociaux, flux, initiés, shorts et provenance.",PARTIAL_NEEDS_CONTRACT,Phase 18 roadmap,Contrat détaillé absent.,C9
AUD-MKT-013,Connaissance marché,"Méthodes et technologies des banques, buy-side, sell-side, prop firms et HFT.",COVERED_DESIGN,Institutional deep atlas; REQ-CORE-027,Transformer les patterns en contrats d’architecture précis.,C4/C13
AUD-MKT-014,Connaissance marché,Logiciels institutionnels et spécialisés utilisés par MARKET-OS lorsque pertinents.,COVERED_DESIGN,Bank-grade matrix; Trading Tool Gateway,Bake-off/adaptation et licences ouverts.,C4/C12
AUD-MKT-015,Connaissance marché,"Fiscalité, comptabilité de portefeuille et contraintes courtier sans en faire le cœur du produit.",PARTIAL_NEEDS_CONTRACT,REQ-CORE-018; Phases 29/30,Contrats opérationnels et comptables manquants.,C13
AUD-MKT-016,Connaissance marché,"Registre explicite des inconnues, variables et ruptures de régime.",LOCKED_CANON,REQ-CORE-016; Unknown registry,Doit être vérifié lors de la clôture finale.,C16
AUD-MKT-017,Connaissance marché,"Recherche profonde arXiv, universités, laboratoires, GitHub, GitLab et grands registres.",LOCKED_CANON,REQ-CORE-011; Research universe,Poursuite thématique dans chaque phase.,C1-C15
AUD-DAT-001,Données/simulation,Données historiques et temps réel avec simulation continue.,LOCKED_CANON,REQ-CORE-008; PAPER-CORE,Données réelles qualifiées manquantes.,C2/C15
AUD-DAT-002,Données/simulation,"Bitemporalité, first_seen_at et available_to_strategy_at.",COVERED_LOCAL,03B/04A contracts,Capture directe et continuité 7 jours ouvertes.,C2
AUD-DAT-003,Données/simulation,Comparer L0/L1/L2/L3 et prouver la valeur marginale.,PARTIAL_OPEN,L1-L2-L3 protocol,Échantillons alignés réels et coûts absents.,C2/C10
AUD-DAT-004,Données/simulation,"Séparer physiquement données réelles, synthétiques, proxy et world-model.",LOCKED_CANON,Data classifications; World-model boundary,Vérifier dans chaque adaptateur final.,C3/C11
AUD-DAT-005,Données/simulation,"Simulation avec capital, positions, gains et pertes virtuels sur données réelles.",COVERED_DESIGN,PAPER-CORE roadmap,PC-4 à PC-7 non conçus en contrats finaux.,C10/C15
AUD-DAT-006,Données/simulation,Maintenir replay/shadow/paper même après passage au réel.,LOCKED_CANON,DEC-0003/0008; PAPER-CORE,Contrat runtime permanent à finaliser.,C15
AUD-DAT-007,Données/simulation,"Ensemble de simulateurs : bars, trades/quotes, LOB, broker, ABM/world model.",COVERED_DESIGN,Replay Factory; World Model Lab,Fidélité/calibration non prouvées.,C10/C11
AUD-DAT-008,Données/simulation,"Anti-overfitting : holdouts, walk-forward, purge, embargo, PBO, DSR.",PARTIAL_NEEDS_CONTRACT,PC-0; Phase 21 roadmap,Contrat complet absent.,C10
AUD-DAT-009,Données/simulation,"TCA, slippage, spread, impact, capacité et fill uncertainty.",COVERED_DESIGN,10A TCA; Phase 22 roadmap,Implémentation/contrat complet absent.,C6/C10
AUD-DAT-010,Données/simulation,"Data TCO/licences : stockage, dérivation, entraînement, embeddings, egress, sortie.",PARTIAL_OPEN,03C-lite; 03C-complete roadmap,Devis écrits et contrat complet absents.,C2
AUD-DAT-011,Données/simulation,"Security Master, identifiants stables, corporate actions, delistings, survivorship.",MISSING_DETAILED_CONTRACT,Phase 05 roadmap,Phase 05 sans contrat Claude Code.,C2
AUD-DAT-012,Données/simulation,"Sauvegardes, snapshots, retention locks, restore drills et disaster recovery.",PARTIAL_NEEDS_SYSTEM_CONTRACT,Data Fabric refs; Phase 31,Plan global de DR absent.,C3/C13
AUD-AI-001,IA/apprentissage,"MOA avec modèles locaux/cloud petits et grands, rôles spécialisés.",LOCKED_CANON,REQ-CORE-005; Phase 25/25A,Contrat macro 25 à finaliser.,C12
AUD-AI-002,IA/apprentissage,"Catalogue dynamique providers : direct, routeur, local OpenAI-compatible; +/− et sync.",COVERED_DESIGN,Premium cockpit; Provider catalog,Implémentation 32A ouverte.,C14
AUD-AI-003,IA/apprentissage,Clés API dans vault; aucun readback navigateur ou pack.,COVERED_DESIGN,REQ-CORE-033; 32A,Vault/auth à sélectionner et contracter.,C13/C14
AUD-AI-004,IA/apprentissage,"Calculs critiques déterministes; LLM propose, outils calculent, Risk Kernel veto.",LOCKED_CANON,REQ-CORE-015; Numerical Truth Kernel,Math Core et tool permissions à finaliser.,C6/C13
AUD-AI-005,IA/apprentissage,"Mémoire sélective, temporelle, causale, exceptions, succès, erreurs et contrefactuels.",COVERED_DESIGN,REQ-CORE-037; 26A contract,Implémentation/poisoning tests ouverts.,C12
AUD-AI-006,IA/apprentissage,Champion/challenger; aucune auto-promotion ou modification directe du moteur actif.,LOCKED_CANON,REQ-CORE-014/017; PC-7/28A,Contrat global de promotion à finaliser.,C12/C15
AUD-AI-007,IA/apprentissage,DGM/Huxley-Gödel/HGM/HyperAgents évalués en sandbox challenger-only.,COVERED_DESIGN,REQ-CORE-038; 28A contract,Expériences et valeur marginale ouvertes.,C12
AUD-AI-008,IA/apprentissage,World models avancés étudiés dans une hiérarchie multi-fidélité.,COVERED_DESIGN,REQ-CORE-039; 23A contract,Implémentation et fidelity gates ouvertes.,C11
AUD-AI-009,IA/apprentissage,RL uniquement offline/safe avec politiques contraintes et aucun exploratoire réel.,PARTIAL_NEEDS_CONTRACT,Phase 24,Contrat macro 24 absent.,C11
AUD-AI-010,IA/apprentissage,Adaptation financière LoRA/CPT seulement si benchmarks justifient.,PARTIAL_NEEDS_CONTRACT,Phase 27,Contrat macro 27 absent.,C12
AUD-AI-011,IA/apprentissage,Consensus premium pondéré par compétence et erreurs corrélées; rapport minoritaire.,COVERED_DESIGN,25A contract,Runtime et benchmark à exécuter.,C16
AUD-AI-012,IA/apprentissage,Logiciels boursiers exploités via API/protocole/MCP/CLI/GUI dans cet ordre.,COVERED_DESIGN,REQ-CORE-036; Tool Gateway,Inventaire détaillé et intégration à finaliser.,C4/C12
AUD-AI-013,IA/apprentissage,Look-ahead via poids LLM/mémoire/embeddings/prompts interdit en historique promotable.,COVERED_LOCAL,PC-0 contract; LookAheadGuard,Généralisation à tous pipelines finaux.,C10/C12
AUD-AI-014,IA/apprentissage,"Agents enrichis par outils, calcul, RAG, graphes, news et logiciels spécialisés.",COVERED_DESIGN,MOA architecture; Tool Gateway,Contrats globaux à finaliser.,C6
AUD-CMP-001,Calcul/déploiement,"CPU exploités fortement pour math, backtests, causalité, optimisation et validation.",LOCKED_CANON,REQ-CORE-007/010; Phase 10A/10B,Golden Oracle non implémenté.,C5/C6
AUD-CMP-002,Calcul/déploiement,"GPU dédiés possibles pour Monte-Carlo, matrices, ML, LOB et LLM.",COVERED_DESIGN,Hardware map; 08A/10B,Qualification réelle absente.,C5/C6
AUD-CMP-003,Calcul/déploiement,"RAM, NVMe, réseau, NUMA, RDMA et cloud traités comme ressources planifiées.",LOCKED_CANON,08A/08B contracts,Inventaire cible et benchmarks absents.,C5
AUD-CMP-004,Calcul/déploiement,FPGA/SmartNIC/DPU explorés sans achat prématuré.,LOCKED_CANON,REQ-CORE-030; FPGA report,Économie/latence workload spécifique ouverte.,C5
AUD-CMP-005,Calcul/déploiement,"Stacks NVIDIA, AMD et Intel évaluées charge par charge.",COVERED_DESIGN,Vendor SDK matrix,Versions et benchmarks réels ouverts.,C5
AUD-CMP-006,Calcul/déploiement,"Compute Node Pack signé : IP/user/bootstrap, mTLS, inventaire et diagnostics.",COVERED_DESIGN,REQ-CORE-034; 08B contract,Déploiement réel absent.,C5
AUD-CMP-007,Calcul/déploiement,"Cloud compute modulable avec budget, droits data, checkpoint, egress et destruction.",COVERED_DESIGN,REQ-CORE-035; Cloud Fabric,Provider et tests réels ouverts.,C5
AUD-CMP-008,Calcul/déploiement,"Déploiement identique sur PC, DGX Spark/GX10, serveurs et nœuds distants.",PARTIAL_NEEDS_EXPLICIT_PROFILE,08B standalone/K3s/cloud,Profils matériels connus et matrice de portabilité à canoniser.,C1/C5
AUD-CMP-009,Calcul/déploiement,"Composants séparés et conteneurisés : trading, analyses, IA, RAG, bases, UI, notifications, simulation.",MISSING_EXPLICIT_REQUIREMENT,Podman Quadlet partiel dans 08B,Architecture de services et profils Compose/Podman/K3s absents.,C1
AUD-CMP-010,Calcul/déploiement,Kubernetes/K3s extensible mais non obligatoire; standalone simple par défaut.,COVERED_DESIGN,08B contract,Manifests et tests de parité à produire.,C1/C5
